Rank,Song,Artist,Year,Lyrics,Source
1,shadow dancing,andy gibb,1978, you got me looking at that heaven in your eyes i was chasing your direction i was telling you no lies and i was loving you when the words are said baby i lose my head and in a world of people theres only you and i there aint nothing come between us in the end how can i hold you when you aint even mine only you can see me through i leave it up to youdo it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing moreall that i need is just one moment in your arms i was chasing your affection i was doing you no harm and i was loving you make it shine make it rain baby i know my way i need that sweet sensation of living in your love i cant breath when youre away it pulls me down you are the question and the answer am i only you can see me through i leave it up to youdo it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing moreand in this world of people theres only you and i there aint nothing come between us in the end ah can i hold you when you aint even mine only you can see me through i leave it up to youdo it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing moredo it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing moredo it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing moredo it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing moredo it light taking me through the night shadow dancing baby you do it right give me more drag me across the floor shadow dancing all this and nothing more ,1
1,my sharona,the knack,1979, ooh my little pretty one my pretty one when you gonna give me some time sharona ooh you make my motor run my motor run got it coming off o the line sharonanever gonna stop give it up such a dirty mind i always get it up for the touch of the younger kind my my my ayeaye whoa mmmmy sharonacome a little closer huh awill ya huh close enough to look in my eyes sharona keeping it a mystery it gets to me running down the length of my thigh sharonanever gonna stop give it up such a dirty mind i always get it up for the touch of the younger kind my my my ayeaye whoa mmmmy sharona mmmmy sharonawhen you gonna give to me a gift to me is it just a matter of time sharona is it dddestiny ddestiny or is it just a game in my mind sharonanever gonna stop give it up such a dirty mind i always get it up for the touch of the younger kind my my my ayeaye whoa mmmmmmmmy my my ayeaye whoa mmmmy sharona mmmmy sharona mmmmy sharona mmmmy sharonaoooooooohhh my sharona oooooooohhh my sharona oooooooohhh my sharona ,1
1,call me,blondie,1980, color me your color baby color me your car color me your color darling i know who you are come up off your color chart i know where youre comin fromcall me call me on the line call me call me any anytime call me call me my love you can call me any day or night call mecover me with kisses baby cover me with love roll me in designer sheets ill never get enough emotions come i dont know why cover up loves alibicall me call me on the line call me call me any anytime call me call me oh love when youre ready we can share the wine call meoh oh oh oh oh he speaks the languages of love oh oh oh oh oh amore chiamami chiamami oh oh oh oh oh appellemoi mon cherie appellemoi anytime anyplace anywhere any way anytime anyplace anywhere any dayaycall me call me my love call me call me any anytime call me call me for a ride call me call me for some overtime call me call me my love call me call me in a sweet design call me call me call me for your lovers lovers alibi call me call me on the line call me call me any anytime call me call me oh call me oh oh ah call me call me my love call me call me any anytime ,1
1,bette davis eyes,kim carnes,1981, her hair is harlow gold her lips are sweet surprise her hands are never cold she got bette davis eyes shell turn the music on you you wont have to think twice shes pure as new york snow she got bette davis eyesand shell tease you shell unease you all the better just to please you shes precocious and she knows just what it takes to make a pro blush she got greta garbos standoff sighs shes got bette davis eyesshell let you take her home it whets her appetite shell lay you on the throne she got bette davis eyes shell take a tumble on you roll you like you were dice until you come out blue shes got bette davis eyesshell expose you when she snows you off your feet with the crumbs she throws you shes ferocious and she knows just what it takes to make a pro blush all the boys think shes a spy shes got bette davis eyesshell tease you shell unease you all the better just to please you shes precocious and she knows just what it takes to make a pro blush all the boys think shes a spy shes got bette davis eyesshell tease you shell unease you just to please you shes got bette davis eyes shell expose you when she snows you cause she knows you shes got bette davis eyes ,1
1,physical,olivia newtonjohn,1982, im saying all the things that i know youll like making good conversation i gotta handle you just right you know what i meani took you to an intimate restaurant then to a suggestive movie theres nothing left to talk about unless its horizontallylets get physical physical i wanna get physical lets get into physical let me hear your body talk your body talk let me hear your body talklets get physical physical i wanna get physical lets get into physical let me hear your body talk your body talk let me hear your body talkive been patient ive been good tried to keep my hands on the table its gettin hard this holdin back you know what i meanim sure youll understand my point of view we know each other mentally you gotta know that youre bringin out the animal in melets get physical physical i wanna get physical lets get into physical let me hear your body talk your body talk let me hear your body talklets get physical physical i wanna get physical lets get into physical let me hear your body talk your body talk let me hear your body talklets get physical physical i wanna get physical lets get into physical let me hear your body talk your body talk let me hear your body talklets get animal animal i wanna get animal lets get into animal let me hear your body talk your body talk let me hear your body talklet me hear your body talk let me hear your body talk ,1
1,every breath you take,the police,1983, every breath you take and every move you make every bond you break every step you take ill be watching you every single day and every word you say every game you play every night you stay ill be watching youoh cant you see you belong to me how my poor heart aches with every step you takeevery move you make every vow you break every smile you fake every claim you stake ill be watching yousince youve gone ive been lost without a trace i dream at night i can only see your face i look around but its you i cant replace i feel so cold and i long for your embrace i keep crying baby baby pleaseoh cant you see you belong to me how my poor heart aches with every step you takeevery move you make and every vow you break every smile you fake every claim you stake ill be watching you every move you make every step you take ill be watching youill be watching you every breath you take and every move you make every bond you break every step you take ill be watching you every single day and every word you say every game you play every night you stay ill be watching you every move you make every vow you break every smile you fake every claim you stake ill be watching you every single day and every word you say every game you play every night you stay ill be watching youevery breath you take and every move you make every bond you break every step you take ill be watching you every single day and every word you say every game you play every night you stay ill be watching you every move you make every vow you break every smile you fake every claim you stake ill be watching you every single day and every word you say every game you play every night you stay ill be watching you ,1
1,when doves cry,prince,1984, dig if you will the picture of you and i engaged in a kiss the sweat of your body covers me can you my darling can you picture thisdream if you can a courtyard an ocean of violets in bloom animals strike curious poses they feel the heat the heat between me and youhow can you just leave me standing alone in a world thats so cold so cold maybe im just too demanding maybe im just like my father too bold maybe youre just like my mother shes never satisfied shes never satisfied why do we scream at each other this is what it sounds like when doves cry    meaning  byamandah   editor    when doves cry is princes first worldwide hit mainly for being the central theme of his 1984 movie purple rain the semiautobiographical film focuses on    see all   touch if you will my stomach feel how it trembles inside youve got the butterflies all tied up dont make me chase you even doves have pridehow can you just leave me standing alone in a world so cold world so cold maybe im just too demanding maybe im just like my father too bold maybe youre just like my mother shes never satisfied shes never satisfied why do we scream at each other this is what it sounds like when doves cryhow can you just leave me standing alone in a world thats so cold a world thats so cold maybe im just too demanding maybe maybe im like my father maybe im just like my father too bold ya know hes too bold maybe youre just like my mother maybe youre just like my mother shes never satisfied shes never never satisfied why do we scream at each other why do we scream why this is what it sounds likewhen doves cry when doves cry doves cry doves cry when doves cry doves cry doves crydont cry dont crywhen doves cry when doves cry when doves crywhen doves cry doves cry doves cry doves cry dont cry darling dont cry dont cry dont cry dont dont cry ,1
1,careless whisper,wham featuring george michael,1985, time can never mend the careless whisper of a good friend to the heart and mind if your answers kind theres no comfort in the truth pain is all youll find i should have known better yeahi feel so unsure as i take your hand and lead you to the dance floor as the music dies something in your eyes calls to mind a silver screen and all its sad goodbyesim never gonna dance again guilty feet have got no rhythm though its easy to pretend i know youre not a fool i should have known better than to cheat a friend and waste a chance that id been given so im never gonna dance again the way i danced with youtime can never mend the careless whisper of a good friend to the heart and mind if your answers kind theres no comfort in the truth pain is all youll findim never gonna dance again guilty feet have got no rhythm though its easy to pretend i know youre not a fool i should have known better than to cheat a friend and waste a chance that id been given so im never gonna dance again the way i danced with you never without your love what am i without your lovetonight the music seems so loud i wish that we could lose this crowd maybe its better this way wed hurt each other with the things we want to saywe could have been so good together we could have lived this dance forever but now whos gonna dance with me please stayim never gonna dance again guilty feet have got no rhythm though its easy to pretend i know youre not a fool i should have known better than to cheat a friend and waste a chance that id been given so im never gonna dance again the way i danced with younow that youre gone now that youre gone now that youre gone what i did that was so wrong so wrong that you had to leave me alone ,1
1,thats what friends are for,dionne and friends dionne warwick gladys knight elton john and stevie wonder,1986,,
1,walk like an egyptian,the bangles,1987, all the old paintings on the tombs they do the sand dance dont you know if they move too quick oh whey oh theyre falling down like a dominoall the bazaar men by the nile they got the money on a bet gold crocodiles oh whey oh they snap their teeth on your cigaretteforeign types with the hookah pipes say ay oh whey oh ay oh whey oh walk like an egyptianblond waitresses take their trays they spin around and they cross the floor theyve got the moves oh whey oh you drop your drink and they give you moreall the school kids so sick of books they like the punk and the metal band when the buzzer rings oh whey oh theyre walking like an egyptianall the kids in the marketplace say ay oh whey oh ay oh whey oh walk like an egyptianslide your feet up the street bend your back shift your arm then you pull it back life is hard you know oh whey oh so strike a pose on a cadillacif you want to find all the cops theyre hanging out in the donut shop they sing and dance oh whey oh spin the clubs cruise down the blockall the japanese with their yen the party boys call the kremlin and the chinese know oh whey oh they walk the line like egyptianall the cops in the donut shop say ay oh whey oh ay oh whey oh walk like an egyptian walk like an egyptian ,1
1,faith,george michael,1988, well i guess it would be nice if i could touch your body i know not everybody has got a body like you uhhbut ive got to think twice before i give my heart away and i know all the games you play because i play them toooh but i need some time off from that emotion time to pick my heart up off the floor oh when that love comes down without devotion well it takes a strong man baby but im showing you the doorcause i gotta have faith i gotta faith because i gotta to have faith faith i gotta to have faith faith faithbaby i know youre asking me to stay say please please please dont go away you say im giving you the blues maybe you mean every word you say cant help but think of yesterday and another who tied me down to lover boy rulesbefore this river becomes an ocean before you throw my heart back on the floor oh baby i reconsider my foolish notion well i need someone to hold me but i wait for something moreyes ive gotta have faith unh i gotta faith because i gotta to have faith faith faith i gotta to have faith faith faithi just got to wait because i got to have faith i gotta have faith i gotta gotta gotta have faithbefore this river becomes an ocean before you throw my heart back on the floor oh baby i reconsider my foolish notion well i need someone to hold me but i wait for something morecause ive gotta have faith unh i gotta faith because i gotta to have faith faith faith i gotta to have faith faith faith ,1
1,look away,chicago,1989, when you called me up this mornin told me bout the new love you found i said im happy for you im really happy for youfound someone else i guess i wont be comin round i guess its over baby its really over baby whoaand from what you said i know youve gotten over me itll never be the way it used to be so if its gotta be this way dont worry baby i can take the news okaybut if you see me walkin by and the tears are in my eyes look away baby look awayif we meet on the streets someday and i dont know what to say look away baby look away dont look at me i dont want you to see me this waywhen we both agreed as lovers we were better off as friends thats how it had to be yeah thats how it had to bei tell you im fine but sometimes i just pretend wish you were holdin me wish you were still holdin me whoai just never thought that i would be replaced so soon i wasnt prepared to hear those words from you i know i wanted to be free yeah baby this is how we wanted it to bebut if you see me walkin by and the tears are in my eyes look away baby look awayand if we meet on the streets someday and i dont know what to say look away baby look away dont look at me i dont want you to see me this wayif you see me walkin by and the tears are in my eyes look away baby look up awayand if we meet on the streets someday and i dont know what to say look away baby look away dont look at me i dont want you to see me this wayif you see me walkin by and the tears are in my eyes look away baby look away dont look at me i dont want you to see me this waywhen you called me up this mornin told me bout the new love you found i said im happy for you im really happy for you ,1
1,hold on,wilson phillips,1990, i know theres pain why do lock yourself up in these chains no one can change your life except for you dont ever let anyone step all over you just open your heart and your mind is it really fair to feel this way insidesome day somebodys gonna make you want to turn around and say goodbye until then baby are you going to let them hold you down and make you cry dont you know dont you know things can change thingsll go your way if you hold on for one more day can you hold on for one more day thingsll go your way hold on for one more dayyou could sustain or are you comfortable with the pain youve got no one to blame for your unhappiness you got yourself into your own mess lettin your worries pass you by dont you think its worth your time to change your mindsome day somebodys gonna make you want to turn around and say goodbye until then baby are you going to let them hold you down and make you cry dont you know dont you know things can change thingsll go your way if you hold on for one more day can you hold on for one more day thingsll go your way hold on for one more dayi know that there is pain but you hold on for one more day and break free the chains yeah i know that there is pain but you hold on for one more day and you break free break from the chainssome day somebodys gonna make you want to turn around and say goodbye until then baby are you going to let them hold you down and make you cry dont you know dont you know things can change thingsll go your way if you hold on for one more day yeah if you hold ondont you know things can change thingsll go your way if you hold on for one more day if you hold on can you hold on hold on baby wont you tell me now hold on for one more day cause its gonna go your waydont you know things can change thingsll go your way if you hold on for one more day cant you change it this timemake up your mind hold on hold on baby hold on ,1
1,everything i do i do it for you,bryan adams,1991, look into my eyes you will see what you mean to me search your heart search your soul and when you find me there youll search no moredont tell me its not worth tryin for you cant tell me its not worth dyin for you know its true everything i do i do it for youlook into your heart you will find theres nothin there to hide take me as i am take my life i would give it all i would sacrificedont tell me its not worth fightin for i cant help it theres nothin i want more you know its true everything i do i do it for you oh yeahtheres no love like your love and no other could give more love theres nowhere unless youre there all the time all the way yeahlook into your heart baby oh yeahoh you cant tell me its not worth tryin for i cant help it theres nothin i want moreyeah i would fight for you id lie for you walk the wire for you yeah id die for youyou know its true everything i do ohh i do it for youeverything i do darling we will see it through we will see it through yeah yeah just look into your heart you cant tell me youll die for love oh yeah ill be there im goin all the way all the way ,1
1,end of the road,boyz ii men,1992, girl you know we belong together i dont have no time for you to be playing with my heart like this youll be mine forever baby you just waitwe belong together and you know that i am right why do you play with my heart why do you play with my mindsaid wed be forever said itd never die how could you love me and leave me and never say goodbyewhen i cant sleep at night without holding you tight girl each time i try i just break down and cry pain in my head oh id rather be dead spinning around and aroundalthough weve come to the end of the road still i cant let go its unnatural you belong to me i belong to you although weve come to the end of the road still i cant let go its unnatural you belong to me i belong to yougirl i know you really love me you just dont realize youve never been there before its only your first timemaybe ill forgive you maybe youll try we should be happy together forever you and iwill you love me again like you loved me before this time i want you to love me much more this time instead just come to my bed and baby just dont let me goalthough weve come to the end of the road still i cant let go its unnatural you belong to me i belong to you although weve come to the end of the road still i cant let go its unnatural you belong to me i belong to yougirl im here for you all those times at night when you just hurt me and just ran out with that other fella baby i knew about it i just didnt care you just dont understand how much i love do you im here for youim not about to go out on cheat you maybe ill forgive you just like you did baby but thats alright i love you anyway maybe you will try and im still going to be here for you until my dying day we should be happy together forever right now im just in so much pain baby cause you just wont come back to me you and i will you just come back to melonely yes baby my heart is lonely lonely my heart hurts baby lonely yes i feel pain too baby pleasethis time instead just come to my bed and baby just dont let me goalthough weve come to the end of the road still i cant let go its unnatural you belong to me i belong to you although weve come to the end of the road still i cant let go its unnatural you belong to me i belong to youalthough weve come to the end of the road still i cant let go its unnatural you belong to me i belong to you although weve come to the end of the road still i cant let go its unnatural you belong to me i belong to you ,1
1,i will always love you,whitney houston,1993, if i should stay ill only be in your way so ill go but i know ill think of you every step of the wayand i will always love you i will always love you you my darling you hmmmbittersweet memories that is all im taking with me so goodbye please dont cry we both know im not what you you needand i will always love you i will always love youi hope life treats you kind and i hope you have all youve dreamed of and i wish to you joy and happiness but above all this i wish you loveand i will always love you i will always love you i will always love you i will always love you i will always love you i i will always love youyou darling i love you oh ill always ill always love you ,1
1,the sign,ace of base,1994, i i gotta new life you would hardly recognize me im so glad how could a person like me care for you i why do i bother when youre not the one for me its enough enoughi saw the sign and it opened up my eyes i saw the sign life is demanding without understanding i saw the sign and it opened up my eyes i saw the sign no ones gonna drag you up to get into the light where you belong but where do you belongi under the clear moon for so many years ive wondered who you are how could a person like you bring me joy under the pale moon where i see a lot of stars its enough enoughi saw the sign and it opened up my eyes i saw the sign life is demanding without understanding i saw the sign and it opened up my eyes i saw the sign no ones gonna drag you up to get into the light where you belong but where do you belong oh oh ohi saw the sign and it opened up my mind and i am happy now living without you ive left you oh oh ohi saw the sign and it opened up my eyes i saw the sign no ones gonna drag you up to get into the light where you belongi saw the sign i saw the sign i saw the sign i saw the sign i saw the sign i saw the sign i saw the sign i saw the sign and it opened up my eyes i saw the sign ,1
1,gangstas paradise,coolio featuring lv,1995, as i walk through the valley of the shadow of death i take a look at my life and realize theres none left cause ive been brassing and laughing so long that even my mamma thinks that my mind is gone but i aint never crossed a man that didnt deserve it me be treated like a punk you know thats unheard of you better watch how you talking and where you walking or you and your homies might be lined in chalk i really hate to trip but i gotta lope as they croak i see myself in the pistal smoke fool im the kinda g that little homies want to be like on my knees in the night saying prayers in the street lightthey been spending most their lives living in the gangstas paradise they been spending most their lives living in the gangstas paradise we keep spending most our lives living in the gangstas paradise we keep spending most our lives living in the gangstas paradisethey got the situation they got me facing i cant live a normal life i was raised by the strip so i gotta be down with the hood team too much television watching got me chasing dreams im a educated fool with money on my mind got my ten in my hand and a gleam in my eye im a loped out gangsta set trippin banger and my homies is down so gonna rouse my anger fool death aint nothing but a heart beat away im living life do or die what can i say im twenty three never will i live to see 24 the way things is going i dont knowtell me why are we so blind to see that the ones we hurt are you and methey been spending most their lives living in the gangstas paradise they been spending most their lives living in the gangstas paradise we keep spending most our lives living in the gangstas paradise we keep spending most our lives living in the gangstas paradisepower and the money money and the power minute after minute hour after hour everybodys running but half of them aint looking whats going on in the kitchen but i dont know whats cooking they say ive got to learn but nobodys here to teach me if they cant understand it how can they reach me i guess they cant i guess they wont i guess they front thats why i know my life is out of luck foolthey been spending most their lives living in the gangstas paradise they been spending most their lives living in the gangstas paradise we keep spending most our lives living in the gangstas paradise we keep spending most our lives living in the gangstas paradisetell me why are we so blind to see that the ones we hurt are you and metell me why are we so blind to see that the ones we hurt are you and me ,1
1,macarena bayside boys mix,los del r'io,1996, dale a tu cuerpo alegria macarena que tu cuerpo es pa darle alegria y cosa buena dale a tu cuerpo alegria macarena hey macarenadale a tu cuerpo alegria macarena que tu cuerpo es pa darle alegria y cosa buena dale a tu cuerpo alegria macarena hey macarenamacarena tiene un novio que se llama que se llama de apellido vitorino que en la jura de bandera el muchacho se la dio con dos amigosmacarena tiene un novio que se llama que se llama de apellido vitorino y en la jura de bandera el muchacho se la dio con dos amigosdale a tu cuerpo alegria macarena que tu cuerpo es pa darle alegria y cosa buena dale a tu cuerpo alegria macarena hey macarenadale a tu cuerpo alegria macarena que tu cuerpo es pa darle alegria y cosa buena dale a tu cuerpo alegria macarena hey macarenamacarena macarena macarena que te gustan los veranos de marbella macarena macarena macarena que te gusta la movida guerrilleradale a tu cuerpo alegria macarena que tu cuerpo es pa darle alegria y cosa buena dale a tu cuerpo alegria macarena hey macarenadale a tu cuerpo alegria macarena que tu cuerpo es pa darle alegria y cosa buena dale a tu cuerpo alegria macarena hey macarenamacarena suena con el corte ingles y se compra los modelos mas modernos le gustaria vivir en nueva york y ligar un novio nuevomacarena suena con el corte ingles y se compra los modelos mas modernos le gustaria vivir en nueva york y ligar un novio nuevodale a tu cuerpo alegria macarena que tu cuerpo es pa darle alegria y cosa buena dale a tu cuerpo alegria macarena hey macarenadale a tu cuerpo alegria macarena que tu cuerpo es pa darle alegria y cosa buena dale a tu cuerpo alegria macarena hey macarenamacarena tiene un novio que se llama que se llama de apellido vitorino y en la jura de bandera del muchacho se la dio con dos amigosmacarena tiene un novio que se llama que se llama de apellido vitorino y en la jura de bandera del muchacho se la dio con dos amigosdale a tu cuerpo alegria macarena que tu cuerpo es pa darle alegria y cosa buena dale a tu cuerpo alegria macarena hey macarenadale a tu cuerpo alegria macarena que tu cuerpo es pa darle alegria y cosa buena dale a tu cuerpo alegria macarena hey macarena ,1
1,something about the way you look tonight  candle in the wind 1997,elton john,1997,,
1,too close,next,1998, i wonder if she could tell im hard right now hm yeah come on dance for me baby ha ha yeah oh oh you feel that alright come on dont stop now you done did it come on uh yeah alright hold on baby when were grinding i get so excited ooh how i like it i try but i cant fight it oh your dancing real close plus its real real slow you know what youre doing dont you youre making it hard for meall the slow songs you requested youre dancing like youre naked oh its almost like were sexing oh yeah yeah boo i like it no i cant deny it but i know you can tell im excited oh girlstep back youre dancing kinda close i feel a little poke coming through on younow girl i know you felt it boo you know i cant help it you know what i want to dobaby when were grinding i get so excited ooh how i like it i try but i cant fight it oh your dancing real close plus its real real slow you know what youre doing dont you youre making it hard for mebaby girls dancing so close aint a good idea cause imma want you now and here the way that you shake it on me makes me want you so bad sexually oh girlstep back youre dancing kinda close i feel a little poke coming through on younow girl i know you felt it boo you know i cant help it you know what i want to dobaby when were grinding i get so excited ooh how i like it i try but i cant fight it oh your dancing real close plus its real real slow you know what youre doing dont you youre making it hard for mebaby when were grinding i get so excited ooh how i like it i try but i cant fight it oh your dancing real close plus its real real slow you know what youre doing dont you youre making it hard for mei love when you shake it like that ah ah ah i see that you like it like that oh oh oh i love when you shake it like that ah ah ah i see that you like it like that oh oh ohwell baby i like the way that you grind on mebaby when were grinding i get so excited ooh how i like it i try but i cant fight it oh your dancing real close plus its real real slow you know what youre doing dont you youre making it hard for mei like the way you move youre making me want you oh the way i like those things you do but youre a little too close ,1
